date,channel,data_source,campaign,ad_set,impressions,clicks,spend,conversions,video_views
2023-01-01,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,568635,63907,221076.45,1072,7232
2023-01-02,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,552987,65355,213146.52,1287,8401
2023-01-03,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,628637,68127,238614.15,1182,8120
2023-01-04,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,711411,86366,271470.48,1569,11079
2023-01-05,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,590345,66707,241213.61,1264,7665
2023-01-06,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,548637,63525,223843.41,1388,7725
2023-01-07,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,690090,74327,259385.29,1255,8805
2023-01-08,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,679503,84406,305419.13,1797,11188
2023-01-09,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,568024,67413,252110.26,1113,9617
2023-01-10,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,635783,81542,296068.99,1512,9201
2023-01-11,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,595661,63588,199701.54,1136,8986
2023-01-12,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,576097,69185,224209.82,1525,6763
2023-01-13,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,660412,69531,233435.34,1212,9460
2023-01-14,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,532217,63899,221946.11,1188,7923
2023-01-15,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,560546,65786,234332.82,1234,11713
2023-01-16,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,585562,64661,216573.84,999,7318
2023-01-17,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,580950,63260,222124.09,1168,10628
2023-01-18,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,691475,77069,258227.24,1494,11923
2023-01-19,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,596732,66038,223132.97,1115,9327
2023-01-20,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,636360,72941,236574.36,1274,12063
2023-01-21,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,728223,85776,285707.29,1658,11533
2023-01-22,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,665074,81043,264129.95,1510,10558
2023-01-23,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,709742,91730,305274.17,1883,10561
2023-01-24,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,559084,64363,237273.07,1433,9925
2023-01-25,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,596498,70619,235790.23,1303,10419
2023-01-26,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,641680,75263,298825.44,1361,8721
2023-01-27,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,669157,79156,284847.06,1400,8051
2023-01-28,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,699091,80370,285130.89,1587,10167
2023-01-29,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,754440,88714,298748.34,1637,9958
2023-01-30,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,671344,85026,309935.57,1610,9974
2023-01-31,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,684015,74656,255601.04,1475,12164
2023-02-01,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,886390,94840,336683.59,1852,12383
2023-02-02,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,792930,95640,381019.21,1733,11817
2023-02-03,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,733189,85229,299847.33,1288,11093
2023-02-04,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,825965,94792,354688.93,1914,13966
2023-02-05,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,697656,78306,267588.69,1309,6937
2023-02-06,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,774868,83148,294248.51,1539,10565
2023-02-07,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,652563,80610,311359.31,1278,10098
2023-02-08,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,651482,78145,268845.39,1632,11531
2023-02-09,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,734823,79159,306911.65,1198,10209
2023-02-10,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,803686,95632,352329.77,1952,8661
2023-02-11,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,767560,84051,290938.57,1473,12583
